Order_ID,Customer,Product,Category,Quantity,Unit_Price,Sales,Order_Date,City
1001,Emma,Printer,Electronics,1,9000,9000,2026-01-07,Palakkad
1002,Ivy,Mouse,Electronics,2,700,1400,2026-01-27,Kochi
1003,Alice,Headphones,Electronics,4,2500,10000,2026-01-09,Kochi
1004,Jack,Mouse,Electronics,2,700,1400,2026-05-10,Kochi
1005,Ivy,Headphones,Electronics,2,2500,5000,2026-06-16,Calicut
1006,Emma,Mouse,Electronics,4,700,2800,2026-05-31,Kochi
1007,Emma,Mouse,Electronics,4,700,2800,2026-03-29,Palakkad
1008,Bob,Mouse,Electronics,3,700,2100,2026-01-27,Calicut
1009,Jack,Laptop,Electronics,3,50000,150000,2026-03-30,Thrissur
1010,Bob,Laptop,Electronics,4,50000,200000,2026-05-18,Calicut
1010,Bob,Laptop,Electronics,4,50000,200000,2026-05-18,Calicut
1012,Alice,Headphones,Electronics,2,2500,5000,2026-01-18,Palakkad
1013,Bob,Keyboard,Electronics,1,1500,1500,2026-03-01,Calicut
1014,Frank,Keyboard,Electronics,4,1500,6000,2026-06-12,Palakkad
1015,Emma,Keyboard,Electronics,3,1500,4500,2026-02-23,Kochi
1016,David,Headphones,Electronics,2,2500,5000,2026-05-17,Palakkad
1017,Ivy,Monitor,Electronics,4,12000,48000,2026-03-11,Palakkad
1018,David,Printer,Electronics,3,9000,27000,2026-01-15,Kochi
1019,Bob,Keyboard,Electronics,4,1500,6000,2026-03-10,Palakkad
1020,Henry,Headphones,Electronics,3,2500,7500,2026-02-24,Calicut
1021,Emma,Printer,Electronics,4,9000,36000,2026-02-06,
1022,Emma,Mouse,Electronics,5,700,3500,2026-05-18,Trivandrum
1023,Frank,Monitor,Electronics,5,12000,60000,2026-04-13,Palakkad
1024,Bob,Mouse,Electronics,5,700,3500,2026-05-07,Kochi
1025,Charlie,Laptop,Electronics,2,50000,100000,2026-06-10,Calicut
1026,Grace,Headphones,Electronics,1,2500,2500,2026-04-09,Trivandrum
1027,Ivy,Monitor,Electronics,5,12000,60000,2026-03-06,Kochi
1028,Ivy,Printer,Electronics,1,9000,9000,2026-06-24,Thrissur
1029,Emma,Printer,Electronics,3,9000,27000,2026-01-29,Calicut
1030,Emma,Mouse,Electronics,4,700,2800,2026-01-01,Trivandrum
1031,Emma,Mouse,Electronics,5,700,3500,2026-01-28,Trivandrum
1032,Frank,Headphones,Electronics,2,2500,5000,2026-02-09,Palakkad
1033,Jack,Headphones,Electronics,5,2500,12500,2026-01-01,Thrissur
1034,Frank,Monitor,Electronics,1,12000,12000,2026-01-29,Thrissur
1035,Jack,Mouse,Electronics,1,700,700,2026-03-03,Kochi
1036,Ivy,Laptop,Electronics,4,50000,200000,2026-01-18,Palakkad
1037,Charlie,Mouse,Electronics,4,700,2800,2026-05-21,Thrissur
1038,David,Headphones,Electronics,5,2500,12500,2026-04-19,Trivandrum
1039,Grace,Printer,Electronics,2,9000,18000,2026-03-21,Thrissur
1040,Bob,Monitor,Electronics,5,12000,60000,2026-04-26,Palakkad
1041,Alice,Mouse,Electronics,1,700,700,2026-03-28,Trivandrum
1042,David,Headphones,Electronics,2,2500,5000,2026-05-31,Kochi
1043,Bob,Laptop,Electronics,1,50000,50000,2026-02-28,Kochi
1044,David,Keyboard,Electronics,1,1500,1500,2026-05-12,Thrissur
1045,Ivy,Printer,Electronics,4,9000,36000,2026-02-24,Palakkad
1046,Henry,Printer,Electronics,5,9000,45000,2026-05-28,Palakkad
1047,Bob,Monitor,Electronics,4,12000,48000,2026-02-18,Kochi
1048,Grace,Printer,Electronics,4,9000,36000,2026-04-01,Calicut
1049,Bob,Monitor,Electronics,1,12000,12000,2026-06-22,Kochi
1050,David,Monitor,Electronics,3,12000,36000,2026-01-28,Palakkad
